State,County,Year,Observed
Idaho,Kootenai County,2002,63.1
Idaho,Latah County,2002,63.7
Idaho,Lemhi County,2002,54.2
Idaho,Lewis County,2002,57.5
Idaho,Lincoln County,2002,48.2
Idaho,Madison County,2002,14.0
Idaho,Minidoka County,2002,40.5
Idaho,Nez Perce County,2002,58.4
Idaho,Oneida County,2002,22.4
Idaho,Owyhee County,2002,49.9
Idaho,Payette County,2002,51.3
Idaho,Power County,2002,41.7
Idaho,Shoshone County,2002,59.4
Idaho,Teton County,2002,43.7
Idaho,Twin Falls County,2002,52.0
Idaho,Valley County,2002,67.5
Idaho,Washington County,2002,50.2
Illinois,Adams County,2002,55.5
Illinois,Alexander County,2002,35.8
Illinois,Bond County,2002,47.5
Illinois,Boone County,2002,61.2
Illinois,Brown County,2002,47.1
Illinois,Bureau County,2002,55.7
Illinois,Calhoun County,2002,56.3
Illinois,Carroll County,2002,56.8
Illinois,Cass County,2002,50.2
Illinois,Champaign County,2002,60.3
Illinois,Christian County,2002,51.5
Illinois,Clark County,2002,43.4
Illinois,Clay County,2002,42.3
Illinois,Clinton County,2002,62.9
Illinois,Coles County,2002,51.5
Illinois,Cook County,2002,59.2
Illinois,Crawford County,2002,44.2
Illinois,Cumberland County,2002,43.8
Illinois,De Witt County,2002,48.7
Illinois,DeKalb County,2002,62.8
Illinois,Douglas County,2002,49.2
Illinois,DuPage County,2002,66.3
Illinois,Edgar County,2002,45.6
Illinois,Edwards County,2002,37.9
Illinois,Effingham County,2002,56.1
Illinois,Fayette County,2002,42.0
Illinois,Ford County,2002,52.9
Illinois,Franklin County,2002,43.0
Illinois,Fulton County,2002,45.0
Illinois,Gallatin County,2002,40.8
Illinois,Greene County,2002,46.0
Illinois,Grundy County,2002,58.9
Illinois,Hamilton County,2002,42.3
Illinois,Hancock County,2002,48.2
Illinois,Hardin County,2002,39.3
Illinois,Henderson County,2002,49.1
Illinois,Henry County,2002,57.4
Illinois,Illinois,2002,58.9
Illinois,Iroquois County,2002,50.9
Illinois,Jackson County,2002,49.4
Illinois,Jasper County,2002,52.0
Illinois,Jefferson County,2002,41.0
Illinois,Jersey County,2002,55.0
Illinois,Jo Daviess County,2002,68.2
Illinois,Johnson County,2002,37.5
Illinois,Kane County,2002,63.8
Illinois,Kankakee County,2002,54.4
Illinois,Kendall County,2002,62.4
Illinois,Knox County,2002,52.8
Illinois,Lake County,2002,67.2
Illinois,LaSalle County,2002,61.9
Illinois,Lawrence County,2002,43.1
Illinois,Lee County,2002,58.2
Illinois,Livingston County,2002,52.8
Illinois,Logan County,2002,49.3
Illinois,Macon County,2002,50.5
Illinois,Macoupin County,2002,51.6
Illinois,Madison County,2002,57.1
Illinois,Marion County,2002,45.3
Illinois,Marshall County,2002,55.8
Illinois,Mason County,2002,47.3
Illinois,Massac County,2002,41.0
Illinois,McDonough County,2002,49.7
Illinois,McHenry County,2002,67.1
Illinois,McLean County,2002,58.4
Illinois,Menard County,2002,51.7
Illinois,Mercer County,2002,52.1
Illinois,Monroe County,2002,65.9
Illinois,Montgomery County,2002,47.7
Illinois,Morgan County,2002,51.2
Illinois,Moultrie County,2002,46.7
Illinois,Ogle County,2002,58.1
Illinois,Peoria County,2002,56.9
Illinois,Perry County,2002,45.3
Illinois,Piatt County,2002,50.5
Illinois,Pike County,2002,42.8
Illinois,Pope County,2002,38.1
Illinois,Pulaski County,2002,33.1
Illinois,Putnam County,2002,56.2
Illinois,Randolph County,2002,52.5
Illinois,Richland County,2002,44.9
Illinois,Rock Island County,2002,57.1
Illinois,Saline County,2002,40.8
Illinois,Sangamon County,2002,58.8
Illinois,Schuyler County,2002,48.0
Illinois,Scott County,2002,45.4
Illinois,Shelby County,2002,46.2
Illinois,St. Clair County,2002,56.0
Illinois,Stark County,2002,46.3
Illinois,Stephenson County,2002,58.6
Illinois,Tazewell County,2002,53.2
Illinois,Union County,2002,41.6
Illinois,Vermilion County,2002,48.3
Illinois,Wabash County,2002,47.1
Illinois,Warren County,2002,50.3
Illinois,Washington County,2002,55.8
Illinois,Wayne County,2002,39.8
Illinois,White County,2002,42.2
Illinois,Whiteside County,2002,54.5
Illinois,Will County,2002,63.1
Illinois,Williamson County,2002,45.8
Illinois,Winnebago County,2002,59.8
Illinois,Woodford County,2002,54.8
Indiana,Adams County,2002,48.0
Indiana,Allen County,2002,58.0
Indiana,Bartholomew County,2002,49.7
Indiana,Benton County,2002,50.8
Indiana,Blackford County,2002,45.6
Indiana,Boone County,2002,52.3
Indiana,Brown County,2002,49.3
Indiana,Carroll County,2002,44.4
Indiana,Cass County,2002,43.5
Indiana,Clark County,2002,48.7
Indiana,Clay County,2002,45.0
Indiana,Clinton County,2002,44.0
Indiana,Crawford County,2002,34.9
Indiana,Daviess County,2002,45.0
Indiana,Dearborn County,2002,55.0
Indiana,Decatur County,2002,48.7
Indiana,DeKalb County,2002,51.7
Indiana,Delaware County,2002,47.5
Indiana,Dubois County,2002,59.5
Indiana,Elkhart County,2002,49.5
Indiana,Fayette County,2002,43.1
Indiana,Floyd County,2002,51.0
Indiana,Fountain County,2002,44.9
Indiana,Franklin County,2002,51.5
Indiana,Fulton County,2002,44.5
Indiana,Gibson County,2002,48.6
Indiana,Grant County,2002,42.1
Indiana,Greene County,2002,42.1
Indiana,Hamilton County,2002,64.0
Indiana,Hancock County,2002,52.3
Indiana,Harrison County,2002,47.3
Indiana,Hendricks County,2002,54.4
Indiana,Henry County,2002,42.1
Indiana,Howard County,2002,47.2
Indiana,Huntington County,2002,50.1
Indiana,Indiana,2002,52.0
Indiana,Jackson County,2002,44.5
Indiana,Jasper County,2002,50.5
Indiana,Jay County,2002,44.5
Indiana,Jefferson County,2002,47.0
Indiana,Jennings County,2002,42.4
Indiana,Johnson County,2002,51.4
Indiana,Knox County,2002,49.7
Indiana,Kosciusko County,2002,48.2
Indiana,LaGrange County,2002,44.8
Indiana,Lake County,2002,54.4
Indiana,LaPorte County,2002,57.6
Indiana,Lawrence County,2002,41.0
Indiana,Madison County,2002,46.1
Indiana,Marion County,2002,55.8
Indiana,Marshall County,2002,46.6
Indiana,Martin County,2002,47.9
Indiana,Miami County,2002,42.3
Indiana,Monroe County,2002,58.3
Indiana,Montgomery County,2002,46.1
Indiana,Morgan County,2002,47.0
Indiana,Newton County,2002,48.8
Indiana,Noble County,2002,47.3
Indiana,Ohio County,2002,44.9
Indiana,Orange County,2002,41.1
Indiana,Owen County,2002,41.9
Indiana,Parke County,2002,41.4
Indiana,Perry County,2002,52.5
Indiana,Pike County,2002,43.3
Indiana,Porter County,2002,59.0
Indiana,Posey County,2002,51.5
Indiana,Pulaski County,2002,47.4
Indiana,Putnam County,2002,45.0
Indiana,Randolph County,2002,40.4
